"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Cancer Sites"	"Cancer Sites Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Mortality Age-Adjusted Rate	Incidence Counts	Incidence Age-Adjusted Rate
	"2006"	"2006"	"California"	"06"	"Prostate"	"28010"	0.153	2918	17923731	22.750	22191	149.009
	"2006"	"2006"	"California"	"06"	"Urinary Bladder"	"29010"	0.218	1355	36021202	4.192	6257	19.198
	"2006"	"2006"	"California"	"06"	"Kidney and Renal Pelvis"	"29020"	0.265	1172	36021202	3.537	4493	13.323
	"2006"	"2006"	"California"	"06"	"Thyroid"	"32010"	0.064	197	36021202	0.600	3334	9.412
	"2006"	"2006"	"California"	"06"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.334	2084	36021202	6.364	6386	19.032
	"2006"	"2006"	"California"	"06"	"Leukemias"	"35011-35043"	0.549	2249	36021202	6.822	4189	12.433
	"2006"	"2006"	"Colorado"	"08"	"Colon and Rectum"	"21041-21052"	0.384	653	4720423	15.942	1762	41.481
	"2006"	"2006"	"Colorado"	"08"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.777	182	4720423	4.234	249	5.450
	"2006"	"2006"	"Colorado"	"08"	"Pancreas"	"21100"	0.919	399	4720423	9.660	446	10.510
	"2006"	"2006"	"Colorado"	"08"	"Lung and Bronchus"	"22030"	0.778	1558	4720423	38.235	2031	49.143
	"2006"	"2006"	"Colorado"	"08"	"Melanoma of the Skin"	"25010"	0.123	129	4720423	2.989	1108	24.333
	"2006"	"2006"	"Colorado"	"08"	"Female Breast"	"26000-Female"	0.171	494	2352960	20.838	2941	122.154
	"2006"	"2006"	"Colorado"	"08"	"Corpus Uteri"	"27020"	0.066	30	2352960	1.242	462	18.918
	"2006"	"2006"	"Colorado"	"08"	"Prostate"	"28010"	0.140	353	2367463	22.768	3278	162.570
	"2006"	"2006"	"Colorado"	"08"	"Urinary Bladder"	"29010"	0.226	169	4720423	4.307	795	19.044
	"2006"	"2006"	"Colorado"	"08"	"Kidney and Renal Pelvis"	"29020"	0.289	154	4720423	3.670	566	12.696
	"2006"	"2006"	"Colorado"	"08"	"Thyroid"	"32010"	0.051	21	4720423	0.530	498	10.410
	"2006"	"2006"	"Colorado"	"08"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.347	261	4720423	6.448	811	18.577
	"2006"	"2006"	"Colorado"	"08"	"Leukemias"	"35011-35043"	0.495	273	4720423	6.547	569	13.229
	"2006"	"2006"	"Connecticut"	"09"	"Colon and Rectum"	"21041-21052"	0.318	639	3517460	15.542	1942	48.833
	"2006"	"2006"	"Connecticut"	"09"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.832	204	3517460	5.136	250	6.170
	"2006"	"2006"	"Connecticut"	"09"	"Pancreas"	"21100"	0.912	482	3517460	11.984	523	13.142
	"2006"	"2006"	"Connecticut"	"09"	"Lung and Bronchus"	"22030"	0.670	1834	3517460	46.466	2713	69.310
	"2006"	"2006"	"Connecticut"	"09"	"Melanoma of the Skin"	"25010"	0.099	100	3517460	2.492	971	25.181
	"2006"	"2006"	"Connecticut"	"09"	"Female Breast"	"26000-Female"	0.173	537	1807675	23.493	2891	136.077
	"2006"	"2006"	"Connecticut"	"09"	"Corpus Uteri"	"27020"	0.063	39	1807675	1.679	574	26.798
	"2006"	"2006"	"Connecticut"	"09"	"Prostate"	"28010"	0.133	374	1709785	23.645	3080	177.198
	"2006"	"2006"	"Connecticut"	"09"	"Urinary Bladder"	"29010"	0.180	208	3517460	4.936	1086	27.487
	"2006"	"2006"	"Connecticut"	"09"	"Kidney and Renal Pelvis"	"29020"	0.189	119	3517460	2.955	611	15.609
	"2006"	"2006"	"Connecticut"	"09"	"Thyroid"	"32010"	0.028	16	3517460	0.422	563	15.291
	"2006"	"2006"	"Connecticut"	"09"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.299	265	3517460	6.463	844	21.642
	"2006"	"2006"	"Connecticut"	"09"	"Leukemias"	"35011-35043"	0.535	287	3517460	7.230	529	13.511
	"2006"	"2006"	"Delaware"	"10"	"Colon and Rectum"	"21041-21052"	0.298	148	859268	15.955	499	53.560
	"2006"	"2006"	"Delaware"	"10"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.662	39	859268	4.046	59	6.114
	"2006"	"2006"	"Delaware"	"10"	"Pancreas"	"21100"	0.897	104	859268	11.103	115	12.373
	"2006"	"2006"	"Delaware"	"10"	"Lung and Bronchus"	"22030"	0.686	557	859268	59.051	815	86.026
	"2006"	"2006"	"Delaware"	"10"	"Melanoma of the Skin"	"25010"	0.084	22	859268	2.289	253	27.229
	"2006"	"2006"	"Delaware"	"10"	"Female Breast"	"26000-Female"	0.179	110	442766	21.171	602	118.347
	"2006"	"2006"	"Delaware"	"10"	"Corpus Uteri"	"27020"	0.108	16	442766	2.978	142	27.572
	"2006"	"2006"	"Delaware"	"10"	"Prostate"	"28010"	0.111	79	416502	22.700	904	204.968
	"2006"	"2006"	"Delaware"	"10"	"Urinary Bladder"	"29010"	0.220	53	859268	5.657	241	25.703
	"2006"	"2006"	"Delaware"	"10"	"Kidney and Renal Pelvis"	"29020"	0.268	40	859268	4.260	148	15.900
	"2006"	"2006"	"Delaware"	"10"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.301	56	859268	6.192	190	20.584
	"2006"	"2006"	"Delaware"	"10"	"Leukemias"	"35011-35043"	0.632	69	859268	7.427	108	11.750
	"2006"	"2006"	"District of Columbia"	"11"	"Colon and Rectum"	"21041-21052"	0.497	132	570681	23.441	267	47.142
	"2006"	"2006"	"District of Columbia"	"11"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.677	34	570681	5.954	50	8.789
	"2006"	"2006"	"District of Columbia"	"11"	"Pancreas"	"21100"	0.901	68	570681	12.330	75	13.681
	"2006"	"2006"	"District of Columbia"	"11"	"Lung and Bronchus"	"22030"	0.772	271	570681	49.195	354	63.738
	"2006"	"2006"	"District of Columbia"	"11"	"Female Breast"	"26000-Female"	0.203	95	301322	28.384	439	139.674
	"2006"	"2006"	"District of Columbia"	"11"	"Prostate"	"28010"	0.237	86	269359	42.968	434	181.408
	"2006"	"2006"	"District of Columbia"	"11"	"Urinary Bladder"	"29010"	0.367	31	570681	5.703	87	15.551
	"2006"	"2006"	"District of Columbia"	"11"	"Kidney and Renal Pelvis"	"29020"	0.263	22	570681	3.962	85	15.060
	"2006"	"2006"	"District of Columbia"	"11"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.349	38	570681	6.617	108	18.964
	"2006"	"2006"	"District of Columbia"	"11"	"Leukemias"	"35011-35043"	0.950	45	570681	8.051	47	8.474
	"2006"	"2006"	"Florida"	"12"	"Colon and Rectum"	"21041-21052"	0.346	3774	18166990	16.203	10696	46.824
	"2006"	"2006"	"Florida"	"12"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.816	1201	18166990	5.237	1432	6.421
	"2006"	"2006"	"Florida"	"12"	"Pancreas"	"21100"	0.863	2397	18166990	10.231	2746	11.850
	"2006"	"2006"	"Florida"	"12"	"Lung and Bronchus"	"22030"	0.725	12018	18166990	51.407	16475	70.880
	"2006"	"2006"	"Florida"	"12"	"Melanoma of the Skin"	"25010"	0.160	679	18166990	2.998	4070	18.745
	"2006"	"2006"	"Florida"	"12"	"Female Breast"	"26000-Female"	0.186	2646	9280080	21.596	13440	116.186
	"2006"	"2006"	"Florida"	"12"	"Corpus Uteri"	"27020"	0.070	178	9280080	1.412	2395	20.169
	"2006"	"2006"	"Florida"	"12"	"Prostate"	"28010"	0.143	2131	8886910	21.347	15929	149.008
	"2006"	"2006"	"Florida"	"12"	"Urinary Bladder"	"29010"	0.201	1069	18166990	4.505	5263	22.413
	"2006"	"2006"	"Florida"	"12"	"Kidney and Renal Pelvis"	"29020"	0.227	805	18166990	3.452	3395	15.189
	"2006"	"2006"	"Florida"	"12"	"Thyroid"	"32010"	0.045	98	18166990	0.418	1828	9.313
	"2006"	"2006"	"Florida"	"12"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.337	1499	18166990	6.457	4242	19.139
	"2006"	"2006"	"Florida"	"12"	"Leukemias"	"35011-35043"	0.510	1636	18166990	7.107	3068	13.934
	"2006"	"2006"	"Georgia"	"13"	"Colon and Rectum"	"21041-21052"	0.360	1352	9155813	17.380	3928	48.279
	"2006"	"2006"	"Georgia"	"13"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.862	386	9155813	4.734	467	5.493
	"2006"	"2006"	"Georgia"	"13"	"Pancreas"	"21100"	0.922	788	9155813	10.234	880	11.103
	"2006"	"2006"	"Georgia"	"13"	"Lung and Bronchus"	"22030"	0.772	4456	9155813	56.689	5871	73.402
	"2006"	"2006"	"Georgia"	"13"	"Melanoma of the Skin"	"25010"	0.120	207	9155813	2.559	1824	21.370
	"2006"	"2006"	"Georgia"	"13"	"Female Breast"	"26000-Female"	0.203	1112	4670606	24.052	5534	118.711
	"2006"	"2006"	"Georgia"	"13"	"Corpus Uteri"	"27020"	0.090	72	4670606	1.578	826	17.540
	"2006"	"2006"	"Georgia"	"13"	"Prostate"	"28010"	0.170	769	4485207	29.973	6452	176.147
	"2006"	"2006"	"Georgia"	"13"	"Urinary Bladder"	"29010"	0.201	259	9155813	3.546	1371	17.680
	"2006"	"2006"	"Georgia"	"13"	"Kidney and Renal Pelvis"	"29020"	0.234	274	9155813	3.494	1260	14.955
	"2006"	"2006"	"Georgia"	"13"	"Thyroid"	"32010"	0.047	34	9155813	0.445	846	9.373
	"2006"	"2006"	"Georgia"	"13"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.346	464	9155813	6.097	1447	17.627
	"2006"	"2006"	"Georgia"	"13"	"Leukemias"	"35011-35043"	0.553	529	9155813	6.908	1017	12.497
	"2006"	"2006"	"Hawaii"	"15"	"Colon and Rectum"	"21041-21052"	0.298	211	1309731	14.332	701	48.099
	"2006"	"2006"	"Hawaii"	"15"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.647	96	1309731	6.526	145	10.085
	"2006"	"2006"	"Hawaii"	"15"	"Pancreas"	"21100"	0.815	153	1309731	10.298	185	12.639
	"2006"	"2006"	"Hawaii"	"15"	"Lung and Bronchus"	"22030"	0.743	565	1309731	38.870	757	52.281
	"2006"	"2006"	"Hawaii"	"15"	"Melanoma of the Skin"	"25010"	0.088	25	1309731	1.798	301	20.461
	"2006"	"2006"	"Hawaii"	"15"	"Female Breast"	"26000-Female"	0.170	146	652351	18.731	835	110.460
	"2006"	"2006"	"Hawaii"	"15"	"Corpus Uteri"	"27020"	0.080	16	652351	1.970	184	24.532
	"2006"	"2006"	"Hawaii"	"15"	"Prostate"	"28010"	0.101	88	657380	13.834	912	136.650
	"2006"	"2006"	"Hawaii"	"15"	"Urinary Bladder"	"29010"	0.172	39	1309731	2.680	227	15.545
	"2006"	"2006"	"Hawaii"	"15"	"Kidney and Renal Pelvis"	"29020"	0.238	40	1309731	2.800	169	11.776
	"2006"	"2006"	"Hawaii"	"15"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.358	79	1309731	5.445	224	15.191
	"2006"	"2006"	"Hawaii"	"15"	"Leukemias"	"35011-35043"	0.474	77	1309731	5.272	158	11.114
	"2006"	"2006"	"Idaho"	"16"	"Colon and Rectum"	"21041-21052"	0.349	199	1468669	14.217	576	40.685
	"2006"	"2006"	"Idaho"	"16"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1.014 (Unreliable)	62	1468669	4.334	61	4.273
	"2006"	"2006"	"Idaho"	"16"	"Pancreas"	"21100"	0.860	154	1468669	10.733	178	12.474
	"2006"	"2006"	"Idaho"	"16"	"Lung and Bronchus"	"22030"	0.744	589	1468669	41.912	796	56.365
	"2006"	"2006"	"Idaho"	"16"	"Melanoma of the Skin"	"25010"	0.119	39	1468669	2.721	327	22.922
	"2006"	"2006"	"Idaho"	"16"	"Female Breast"	"26000-Female"	0.167	160	732104	20.652	930	123.846
	"2006"	"2006"	"Idaho"	"16"	"Prostate"	"28010"	0.143	143	736565	24.938	1186	174.159
	"2006"	"2006"	"Idaho"	"16"	"Urinary Bladder"	"29010"	0.201	61	1468669	4.393	307	21.803
	"2006"	"2006"	"Idaho"	"16"	"Kidney and Renal Pelvis"	"29020"	0.308	60	1468669	4.257	197	13.802
	"2006"	"2006"	"Idaho"	"16"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.312	84	1468669	6.007	274	19.264
	"2006"	"2006"	"Idaho"	"16"	"Leukemias"	"35011-35043"	0.503	116	1468669	8.315	238	16.523
	"2006"	"2006"	"Illinois"	"17"	"Colon and Rectum"	"21041-21052"	0.353	2502	12643955	19.456	7042	55.129
	"2006"	"2006"	"Illinois"	"17"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.887	670	12643955	5.228	763	5.895
	"2006"	"2006"	"Illinois"	"17"	"Pancreas"	"21100"	0.913	1463	12643955	11.475	1600	12.566
	"2006"	"2006"	"Illinois"	"17"	"Lung and Bronchus"	"22030"	0.717	6671	12643955	52.798	9279	73.616
	"2006"	"2006"	"Illinois"	"17"	"Melanoma of the Skin"	"25010"	0.160	333	12643955	2.589	2060	16.198
	"2006"	"2006"	"Illinois"	"17"	"Female Breast"	"26000-Female"	0.191	1771	6440022	24.307	8898	127.531
	"2006"	"2006"	"Illinois"	"17"	"Corpus Uteri"	"27020"	0.074	145	6440022	2.027	1922	27.328
	"2006"	"2006"	"Illinois"	"17"	"Prostate"	"28010"	0.161	1220	6203933	25.730	9043	160.016
	"2006"	"2006"	"Illinois"	"17"	"Urinary Bladder"	"29010"	0.205	579	12643955	4.510	2777	22.005
	"2006"	"2006"	"Illinois"	"17"	"Kidney and Renal Pelvis"	"29020"	0.238	530	12643955	4.151	2230	17.471
	"2006"	"2006"	"Illinois"	"17"	"Thyroid"	"32010"	0.052	75	12643955	0.590	1440	11.324
	"2006"	"2006"	"Illinois"	"17"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.354	885	12643955	6.952	2491	19.613
	"2006"	"2006"	"Illinois"	"17"	"Leukemias"	"35011-35043"	0.534	953	12643955	7.486	1781	14.028
	"2006"	"2006"	"Indiana"	"18"	"Colon and Rectum"	"21041-21052"	0.363	1225	6332669	18.809	3383	51.840
	"2006"	"2006"	"Indiana"	"18"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.962	315	6332669	4.740	326	4.929
	"2006"	"2006"	"Indiana"	"18"	"Pancreas"	"21100"	0.932	726	6332669	11.065	776	11.868
	"2006"	"2006"	"Indiana"	"18"	"Lung and Bronchus"	"22030"	0.755	4000	6332669	61.736	5297	81.802
	"2006"	"2006"	"Indiana"	"18"	"Melanoma of the Skin"	"25010"	0.162	186	6332669	2.852	1139	17.599
	"2006"	"2006"	"Indiana"	"18"	"Female Breast"	"26000-Female"	0.216	944	3218203	25.498	4199	118.082
	"2006"	"2006"	"Indiana"	"18"	"Corpus Uteri"	"27020"	0.073	69	3218203	1.824	902	25.007
	"2006"	"2006"	"Indiana"	"18"	"Prostate"	"28010"	0.166	571	3114466	23.632	4143	142.651
	"2006"	"2006"	"Indiana"	"18"	"Urinary Bladder"	"29010"	0.207	273	6332669	4.236	1325	20.436
	"2006"	"2006"	"Indiana"	"18"	"Kidney and Renal Pelvis"	"29020"	0.253	295	6332669	4.504	1170	17.779
	"2006"	"2006"	"Indiana"	"18"	"Thyroid"	"32010"	0.052	32	6332669	0.490	598	9.417
	"2006"	"2006"	"Indiana"	"18"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.348	469	6332669	7.171	1339	20.588
	"2006"	"2006"	"Indiana"	"18"	"Leukemias"	"35011-35043"	0.580	513	6332669	7.884	879	13.589
	"2006"	"2006"	"Iowa"	"19"	"Colon and Rectum"	"21041-21052"	0.336	668	2982644	18.335	1903	54.556
	"2006"	"2006"	"Iowa"	"19"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.892	140	2982644	3.941	153	4.420
	"2006"	"2006"	"Iowa"	"19"	"Pancreas"	"21100"	0.879	360	2982644	10.205	408	11.615
	"2006"	"2006"	"Iowa"	"19"	"Lung and Bronchus"	"22030"	0.708	1714	2982644	48.979	2389	69.192
	"2006"	"2006"	"Iowa"	"19"	"Melanoma of the Skin"	"25010"	0.125	90	2982644	2.636	681	21.004
	"2006"	"2006"	"Iowa"	"19"	"Female Breast"	"26000-Female"	0.186	446	1511124	22.576	2184	121.536
	"2006"	"2006"	"Iowa"	"19"	"Corpus Uteri"	"27020"	0.091	51	1511124	2.584	517	28.311
	"2006"	"2006"	"Iowa"	"19"	"Prostate"	"28010"	0.171	366	1471520	25.366	2293	147.934
	"2006"	"2006"	"Iowa"	"19"	"Urinary Bladder"	"29010"	0.171	149	2982644	3.996	821	23.406
	"2006"	"2006"	"Iowa"	"19"	"Kidney and Renal Pelvis"	"29020"	0.271	163	2982644	4.629	583	17.098
	"2006"	"2006"	"Iowa"	"19"	"Thyroid"	"32010"	0.067	23	2982644	0.665	301	9.903
	"2006"	"2006"	"Iowa"	"19"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.340	261	2982644	7.257	729	21.350
	"2006"	"2006"	"Iowa"	"19"	"Leukemias"	"35011-35043"	0.484	264	2982644	7.478	528	15.443
	"2006"	"2006"	"Kansas"	"20"	"Colon and Rectum"	"21041-21052"	0.355	527	2762931	17.588	1462	49.511
	"2006"	"2006"	"Kansas"	"20"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1.147 (Unreliable)	134	2762931	4.523	118	3.943
	"2006"	"2006"	"Kansas"	"20"	"Pancreas"	"21100"	1.103 (Unreliable)	337	2762931	11.334	302	10.278
	"2006"	"2006"	"Kansas"	"20"	"Lung and Bronchus"	"22030"	0.835	1584	2762931	54.413	1881	65.157
	"2006"	"2006"	"Kansas"	"20"	"Melanoma of the Skin"	"25010"	0.125	84	2762931	2.839	646	22.708
	"2006"	"2006"	"Kansas"	"20"	"Female Breast"	"26000-Female"	0.182	396	1394092	23.891	2016	130.926
	"2006"	"2006"	"Kansas"	"20"	"Corpus Uteri"	"27020"	0.099	38	1394092	2.170	345	21.978
	"2006"	"2006"	"Kansas"	"20"	"Prostate"	"28010"	0.136	252	1368839	21.092	2027	155.464
	"2006"	"2006"	"Kansas"	"20"	"Urinary Bladder"	"29010"	0.188	115	2762931	3.724	582	19.796
	"2006"	"2006"	"Kansas"	"20"	"Kidney and Renal Pelvis"	"29020"	0.305	144	2762931	4.881	464	15.981
	"2006"	"2006"	"Kansas"	"20"	"Thyroid"	"32010"	0.048	17	2762931	0.586	339	12.235
	"2006"	"2006"	"Kansas"	"20"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.325	199	2762931	6.555	584	20.175
	"2006"	"2006"	"Kansas"	"20"	"Leukemias"	"35011-35043"	0.507	201	2762931	6.761	389	13.331
	"2006"	"2006"	"Kentucky"	"21"	"Colon and Rectum"	"21041-21052"	0.354	863	4219239	19.748	2490	55.851
	"2006"	"2006"	"Kentucky"	"21"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.940	219	4219239	4.829	235	5.137
	"2006"	"2006"	"Kentucky"	"21"	"Pancreas"	"21100"	0.907	489	4219239	11.064	544	12.193
	"2006"	"2006"	"Kentucky"	"21"	"Lung and Bronchus"	"22030"	0.732	3325	4219239	74.526	4586	101.879
	"2006"	"2006"	"Kentucky"	"21"	"Melanoma of the Skin"	"25010"	0.129	124	4219239	2.820	970	21.861
	"2006"	"2006"	"Kentucky"	"21"	"Female Breast"	"26000-Female"	0.191	599	2149096	23.905	3041	124.876
	"2006"	"2006"	"Kentucky"	"21"	"Corpus Uteri"	"27020"	0.061	38	2149096	1.506	603	24.516
	"2006"	"2006"	"Kentucky"	"21"	"Prostate"	"28010"	0.173	410	2070143	26.826	3136	155.102
	"2006"	"2006"	"Kentucky"	"21"	"Urinary Bladder"	"29010"	0.204	209	4219239	4.810	1047	23.586
	"2006"	"2006"	"Kentucky"	"21"	"Kidney and Renal Pelvis"	"29020"	0.244	204	4219239	4.572	847	18.751
	"2006"	"2006"	"Kentucky"	"21"	"Thyroid"	"32010"	0.052	26	4219239	0.590	499	11.389
	"2006"	"2006"	"Kentucky"	"21"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.359	324	4219239	7.470	922	20.800
	"2006"	"2006"	"Kentucky"	"21"	"Leukemias"	"35011-35043"	0.548	307	4219239	7.086	564	12.932
	"2006"	"2006"	"Louisiana"	"22"	"Colon and Rectum"	"21041-21052"	0.372	855	4302665	20.135	2355	54.142
	"2006"	"2006"	"Louisiana"	"22"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.965	278	4302665	6.292	295	6.519
	"2006"	"2006"	"Louisiana"	"22"	"Pancreas"	"21100"	0.876	512	4302665	11.975	588	13.676
